id_generado;ùTienes equipo/s de Aire Acondicionado en tu hogar?;ùUtilizas algœn otro equipamiento para calefaccionar?;ùCuÿl de las siguientes opciones utilizas?;ùCuÿntos Aires Acondicionados tienes en tu hogar? [Comunes];ùCuÿntos Aires Acondicionados tienes en tu hogar? [©Inverterî];ùCuÿntos Aires Acondicionados tienes en tu hogar? [No s? de qu? tipo, pero tengo esta cantidad:];ùQu? potencia tienen tus equipos? [9.000 BTU];ùQu? potencia tienen tus equipos? [12.000 BTU];ùQu? potencia tienen tus equipos? [18.000 BTU];ùQu? potencia tienen tus equipos? [24.000 BTU];ùUsas Aire Acondicionado en Invierno?;En INVIERNO ùC½mo usas tus aires acondicionados?;Los DIAS DE SEMANA: ùCuÿntas horas al d­a usas tu/s equipo/s en INVIERNO?;ùY los FINES de semana?ùCuÿntas horas al d­a usas tu/s equipo/s los fines de semana de INVIERNO?;ùUtilizas algœn otro equipamiento para calefaccionar?;ùCuÿl de las siguientes opciones utilizas?;ùUsas Aire Acondicionado en Verano?;En VERANO ùC½mo usas tus aires acondicionados?;Los DIAS DE SEMANA: ùCuÿntas horas al d­a usas tu/s equipo/s en VERANO?;ùY los FINES de semana?ùCuÿntas horas al d­a usas tu/s equipo/s los fines de semana de VERANO?;ùEn qu? tipo de vivienda resides?;ùCuÿntos metros cuadrados construidos tiene tu hogar? (aproximadamente);ùCuÿntas personas viven habitualmente en el hogar?;ùCuÿntos aÏos hace que vives en tu domicilio actual?
4841213;SI;;;2;;;2;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;5;Mÿs de cinco aÏos
5500467;No;S­;Calefacci½n central;;;;;;;;;;;;;;;;;;Casa;Mÿs de 120m2;3;Mÿs de cinco aÏos
5901706;SI;;;;;3;;3;;;No;;;;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
6890587;SI;;;Mÿs de 4;;;3;;;2;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;entre 4 y 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
6911103;SI;;;2;;;2;;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Apartamento;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
6955390191;SI;;;1;1;;;1;;1;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
6951985;SI;;;1;;;;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Casa;40m2 o menos;2;Mÿs de cinco aÏos
5921771;SI;;;;;2;;2;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 2 y 3 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
2480501226;SI;;;3;;;2;;1;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;entre 4 y 5 horas;mas de 5 horas;Casa;Mÿs de 120m2;7;Entre uno y dos aÏos
9841553;SI;;;2;2;;2;2;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
1812865330;SI;;;2;;;1;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
7190398;SI;;;;;;;3;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Gas por caÏer­a, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Mÿs de 120m2;3;Mÿs de cinco aÏos
8740328735;SI;;;;1;;;1;;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Casa;Mÿs de 120m2;5;Menos de un aÏo
19201183;SI;;;2;;;;2;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida, Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
11910521;SI;;;1;;1;1;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 3 y 4 horas;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;No;;;;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
16200740;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
4378750957;SI;;;;3;;2;;;1;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;4;Entre dos y cinco aÏos
14460534;No;S­;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
18341303;SI;;;1;1;;2;;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;1 hora o menos;No;;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 40m2 y 80m2;4;Entre dos y cinco aÏos
18621788;SI;;;;2;;2;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Mÿs de 120m2;2;Mÿs de cinco aÏos
14901062;SI;;;;;4;3;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
8205810541;SI;;;2;;;;2;2;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;3;Entre uno y dos aÏos
15750489;SI;;;1;;1;;;1;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;2;Menos de un aÏo
18291882;No;No;;;;;;;;;;;;;;;;;;;Apartamento;40m2 o menos;3;Mÿs de cinco aÏos
7267826382;SI;;;2;;;1;;;1;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;mas de 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;1;Entre dos y cinco aÏos
8428858584;SI;;;1;2;;2;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Si;Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 80m2 y 120m2;3;Menos de un aÏo
18830848;SI;;;2;1;;2;1;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
18011005;SI;;;Mÿs de 4;;;4;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Casa;Mÿs de 120m2;4;Mÿs de cinco aÏos
26670115;SI;;;2;;;;2;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
20281745;No;S­;Estufa a supergas;;;;;;;;;;;;;;;;;;Apartamento;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
7868818874;SI;;;1;;;;1;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Entre uno y dos aÏos
20501850;No;No;;;;;;;;;;;;;;;;;;;Apartamento;Entre 80m2 y 120m2;5;Entre dos y cinco aÏos
7437162116;SI;;;;1;;;;;1;Si;Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;No;;No;;;;Casa;Entre 40m2 y 80m2;3;Entre dos y cinco aÏos
20780790;SI;;;;1;;;;1;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 3 y 4 horas;Apartamento;Entre 40m2 y 80m2;2;Menos de un aÏo
3135310529;SI;;;1;;;;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 4 y 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 4 y 5 horas;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
2664091389;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
2664091389;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
2664091389;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Entre uno y dos aÏos
23551035;SI;;;2;;;;1;1;;Si;Lo enciendo solamente cuando siento frio;mas de 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
23751321;SI;;;3;;3;1;2;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 4 y 5 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;mas de 5 horas;Apartamento;40m2 o menos;2;Mÿs de cinco aÏos
23890615;No;S­;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
9136022273;No;S­;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;;;;;;;;;;;;;;;;;;Apartamento;Entre 40m2 y 80m2;5;Mÿs de cinco aÏos
24181936;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
20841803;SI;;;;1;;1;;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;mas de 5 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;Casa;40m2 o menos;4;Mÿs de cinco aÏos
25311938;SI;;;3;1;;2;2;;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;entre 3 y 4 horas;entre 3 y 4 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n cÿlida;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Mÿs de 120m2;5;Mÿs de cinco aÏos
26061025;SI;;;;;Mÿs de 4;Mÿs de 4;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 3 y 4 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Mÿs de 120m2;6;Mÿs de cinco aÏos
859310625;SI;;;Mÿs de 4;;Mÿs de 4;3;3;1;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
26700811;SI;;;2;;;2;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Gas por caÏer­a;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Apartamento;40m2 o menos;2;Mÿs de cinco aÏos
22720615;SI;;;3;;;1;;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
28430550;SI;;;2;;;2;;1;;Si;Lo enciendo solamente cuando siento frio;entre 4 y 5 horas;mas de 5 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
38050402;SI;;;2;;;2;;;;No;;;;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;No;;;;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
4905167068;SI;;;1;;;;;1;;Si;Lo uso cuidando que el consumo no sea demasiado alto;1 hora o menos;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;3;Entre dos y cinco aÏos
2098750897;SI;;;2;;;;2;;;Si;Lo enciendo solamente cuando siento frio;1 hora o menos;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
1991534345;SI;;;2;;;;1;;1;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 4 y 5 horas;Casa;Entre 80m2 y 120m2;2;Entre uno y dos aÏos
32820493;SI;;;3;2;;2;1;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
35811855;SI;;;1;1;;1;;1;;Si;Lo enciendo solamente cuando siento frio;entre 4 y 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 4 y 5 horas;mas de 5 horas;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
35820942;SI;;;3;;;3;;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 3 y 4 horas;No;;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 2 y 3 horas;Apartamento;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
31591197;SI;;;;2;;;2;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Si;Estufa a supergas, Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
4837600358;SI;;;3;;;3;2;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, Caloventilador, Hal½gena;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 4 y 5 horas;entre 4 y 5 horas;Casa;Mÿs de 120m2;2;Entre dos y cinco aÏos
35410899;No;No;;;;;;;;;;;;;;;;;;;Apartamento;40m2 o menos;4;Mÿs de cinco aÏos
3219058973;No;No;;;;;;;;;;;;;;;;;;;Casa;Entre 80m2 y 120m2;3;Entre dos y cinco aÏos
3744031760;SI;;;3;;;2;1;;;Si;Lo enciendo solamente cuando siento frio, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor, Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;1 hora o menos;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
5035530217;SI;;;3;;;;2;;1;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;No;;;;Casa;Mÿs de 120m2;2;Mÿs de cinco aÏos
7265858357;No;S­;Estufa a supergas;;;;;;;;;;;;;;;;;;Casa;40m2 o menos;3;Mÿs de cinco aÏos
38541200;SI;;;2;;;;2;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Apartamento;Entre 40m2 y 80m2;1;Mÿs de cinco aÏos
665750050;SI;;;1;;;1;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Casa;Entre 40m2 y 80m2;4;Entre dos y cinco aÏos
41320380;SI;;;1;;1;;1;;;No;;;;No;;Si;Lo uso cuidando que el consumo no sea demasiado alto;mas de 5 horas;mas de 5 horas;Casa;40m2 o menos;3;Mÿs de cinco aÏos
42541131;SI;;;4;;;4;;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Si;doble combustion o cerrada a leÏa;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;3;Mÿs de cinco aÏos
5549620489;No;S­;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra., Estufa a cuarzo, caloventilador, estufa hal½gena;;;;;;;;;;;;;;;;;;Casa;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
42961858;SI;;;1;;;;1;;;No;;;;Si;Estufa a supergas;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 40m2 y 80m2;2;Mÿs de cinco aÏos
43161626;SI;;;2;;;1;1;;;Si;Lo enciendo solamente cuando siento frio;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 2 y 3 horas;entre 3 y 4 horas;Casa;Entre 40m2 y 80m2;3;Mÿs de cinco aÏos
2166838647;SI;;;1;;;;1;;;No;;;;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;4;Mÿs de cinco aÏos
45290296;SI;;;2;;;;1;1;;No;;;;Si;Calefacci½n central;Si;Lo enciendo solamente cuando siento calor;1 hora o menos;1 hora o menos;Apartamento;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
45451050;SI;;;Mÿs de 4;1;;2;3;1;;Si;Lo enciendo de manera rutinaria mientras dure la estaci½n fr­a;mas de 5 horas;mas de 5 horas;No;;No;;;;Casa;Mÿs de 120m2;2;Mÿs de cinco aÏos
1437280061;SI;;;;1;;;1;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 3 y 4 horas;Si;Estufa a supergas, Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 3 y 4 horas;Casa;Entre 80m2 y 120m2;2;Mÿs de cinco aÏos
46591172;SI;;;2;;;1;2;;;Si;Lo uso cuidando que el consumo no sea demasiado alto;entre 2 y 3 horas;entre 2 y 3 horas;Si;Estufa a leÏa (abierta o cerrada), estufa a pellet, salamandra.;Si;Lo enciendo solamente cuando siento calor;entre 3 y 4 horas;entre 4 y 5 horas;Casa;Entre 40m2 y 80m2;4;Mÿs de cinco aÏos
